,Algeria,Cameroon,Congo DRC,Cyprus,Czech Republic,Ethiopia,Ghana,Hungary,Israel,Ivory Coast,Jordan,Kenya,Kuwait,Lebanon,Morocco,Nigeria,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovakia,Slovenia,South Africa,Tanzania,UAE,Uganda,Zambia,Zimbabwe,Total Population
Finland,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1200.0,1200.0,1000.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3000000.0
France,370000.0,52000.0,73000.0,1000.0,3500.0,4400.0,4400.0,5100.0,6300.0,81000.0,1200.0,2000.0,1000.0,22000.0,310000.0,16000.0,33000.0,1000.0,82000.0,2600.0,2900.0,77000.0,24000.0,1500.0,2800.0,1000.0,6000.0,1200.0,9200.0,1000.0,1000.0,1000.0,36000000.0
Germany,11000.0,13000.0,9300.0,1400.0,19000.0,15000.0,19000.0,53000.0,5900.0,4000.0,7900.0,6700.0,1000.0,39000.0,42000.0,35000.0,290000.0,1000.0,270000.0,1000.0,2400.0,3300.0,79000.0,2300.0,17000.0,4300.0,6600.0,1600.0,3900.0,1500.0,1000.0,1300.0,35000000.0
Greece,1200.0,1000.0,4700.0,9800.0,1400.0,1600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1200.0,1300.0,2200.0,4800.0,1000.0,16000.0,1000.0,1000.0,1000.0,3500.0,1000.0,1000.0,1000.0,1800.0,1000.0,1100.0,1000.0,1000.0,1000.0,5800000.0
Ireland,1000.0,1000.0,1600.0,1000.0,1900.0,1000.0,1000.0,3300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,8300.0,37000.0,1000.0,20000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3600.0,1000.0,4000.0,1000.0,1000.0,1000.0,1000.0,1200.0,3000000.0
Italy,7000.0,6300.0,22000.0,1000.0,4000.0,5100.0,22000.0,4900.0,3300.0,17000.0,1300.0,2600.0,1000.0,3000.0,130000.0,65000.0,32000.0,1000.0,410000.0,1000.0,1000.0,52000.0,15000.0,1400.0,4000.0,1500.0,4100.0,1400.0,4200.0,1000.0,1000.0,1000.0,33000000.0
Luxembourg,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1300.0,1000.0,1800.0,1000.0,1000.0,1000.0,1200.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,350000.0
Malta,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2200.0,1000.0,1000.0,1300.0,1000.0,1000.0,1000.0,3900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,370000.0
Netherlands,1600.0,1000.0,3300.0,1000.0,2500.0,2900.0,6200.0,7800.0,2200.0,1000.0,1000.0,1300.0,1000.0,2100.0,40000.0,5300.0,91000.0,1000.0,23000.0,1000.0,1000.0,1000.0,4700.0,1400.0,4000.0,1000.0,6600.0,1000.0,1300.0,1000.0,1000.0,1000.0,11000000.0
Norway,1000.0,1000.0,2000.0,1000.0,1000.0,4400.0,1000.0,1300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1100.0,2700.0,1100.0,35000.0,1000.0,7300.0,1000.0,1000.0,1000.0,4000.0,1000.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3500000.0
Portugal,1000.0,1000.0,2300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,1000.0,1300.0,1000.0,11000.0,1000.0,1000.0,1400.0,1000.0,1000.0,1000.0,1000.0,5800.0,1000.0,1000.0,1000.0,1000.0,1000.0,6500000.0
Spain,18000.0,5500.0,7000.0,1000.0,3000.0,1000.0,8200.0,3700.0,1700.0,3700.0,1100.0,1100.0,1000.0,2000.0,250000.0,18000.0,19000.0,1000.0,290000.0,1000.0,1000.0,40000.0,2900.0,1000.0,2600.0,1000.0,3100.0,1000.0,1600.0,1000.0,1000.0,1000.0,27000000.0
Sweden,1400.0,1000.0,3700.0,1000.0,1400.0,7100.0,1600.0,4000.0,1400.0,1000.0,2900.0,2300.0,1000.0,13000.0,5300.0,3900.0,30000.0,1000.0,13000.0,1000.0,1400.0,1000.0,14000.0,1000.0,1000.0,1000.0,1200.0,1000.0,1300.0,1900.0,1000.0,1000.0,6900000.0
Switzerland,3700.0,3500.0,5300.0,1000.0,4000.0,3700.0,1200.0,8200.0,1200.0,1700.0,1000.0,1300.0,1000.0,3400.0,7900.0,2900.0,13000.0,1000.0,12000.0,1000.0,1000.0,1600.0,31000.0,1000.0,7200.0,1900.0,2500.0,1000.0,1000.0,1000.0,1000.0,1000.0,4200000.0
United Kingdom,14000.0,6000.0,18000.0,17000.0,21000.0,13000.0,47000.0,44000.0,5000.0,4500.0,4300.0,21000.0,2900.0,8900.0,14000.0,99000.0,310000.0,1300.0,310000.0,1000.0,8100.0,2400.0,5200.0,9300.0,33000.0,1100.0,66000.0,7800.0,8500.0,9800.0,5100.0,36000.0,42000000.0
